artist_id,artist_name,stage_name,work_id,work_name,work_type,genre,release_date,notoriety_date,notable
1,Carlos Duffy,NA,0,Breaking These Chains,Song,Oceanus Folk,2017,NA,TRUE
2,Min Qin,NA,0,Breaking These Chains,Song,Oceanus Folk,2017,NA,TRUE
3,Xiuying Xie,NA,0,Breaking These Chains,Song,Oceanus Folk,2017,NA,TRUE
7,Xiulan Zeng,NA,5088,Echoes of a Lonely Gaze,Song,Lo-Fi Electronica,2026,2026,TRUE
7,Xiulan Zeng,NA,5,Unshackled Heart,Song,Lo-Fi Electronica,2026,NA,TRUE
7,Xiulan Zeng,NA,6231,Echoes from Zion's Walls,Album,Lo-Fi Electronica,2029,NA,TRUE
7,Xiulan Zeng,NA,9808,Lawn Mower Lament,Song,Indie Rock,2018,2018,TRUE
7,Xiulan Zeng,NA,13567,Lowered Expectations,Album,Lo-Fi Electronica,2025,NA,TRUE
7,Xiulan Zeng,NA,16514,Singular Constellation,Song,Americana,2013,NA,TRUE
8,David Franklin,NA,5,Unshackled Heart,Song,Lo-Fi Electronica,2026,NA,TRUE
13,Li Yi,NA,10,No Limits Left,Song,Indie Folk,2020,NA,TRUE
13,Li Yi,NA,11459,Glacial Pulse,Song,Post-Apocalyptic Folk,2026,NA,TRUE
20,Xiuying Meng,NA,6827,Fading Echoes,Song,Doom Metal,2027,NA,TRUE
20,Xiuying Meng,NA,16367,Whispers of Cerulean,Song,Darkwave,2020,NA,TRUE
27,Anatol Dietz,The Hollow Lantern,26,"Clean Lungs, Clear Mind",Song,Speed Metal,2022,NA,TRUE
28,Tracy Simpson,NA,26,"Clean Lungs, Clear Mind",Song,Speed Metal,2022,NA,TRUE
29,Lorraine Martinez,NA,26,"Clean Lungs, Clear Mind",Song,Speed Metal,2022,NA,TRUE
29,Lorraine Martinez,NA,148,Grandfather's Faded Photographs,Song,Speed Metal,2010,NA,TRUE
29,Lorraine Martinez,NA,8739,Frost and Faith,Song,Speed Metal,2005,NA,TRUE
29,Lorraine Martinez,NA,10651,Whispered Waltzes in Minor,Album,Speed Metal,2006,NA,TRUE
29,Lorraine Martinez,NA,10836,The Last Word Unsaid,Song,Speed Metal,2021,NA,TRUE
29,Lorraine Martinez,NA,12346,Temples and Shadows,Song,Speed Metal,2009,NA,TRUE
29,Lorraine Martinez,NA,16421,Unraveled (A Cassidy Story),Song,Speed Metal,2010,2010,TRUE
30,Megan Bennett,NA,16161,Stone and Water: A London Passage,Song,Southern Gothic Rock,1996,NA,TRUE
30,Megan Bennett,NA,26,"Clean Lungs, Clear Mind",Song,Speed Metal,2022,NA,TRUE
30,Megan Bennett,NA,4861,Civic Pride: A Municipal Melody,Song,Speed Metal,1996,1996,TRUE
30,Megan Bennett,NA,4932,Harmony in the Alleyway,Album,Speed Metal,1987,NA,TRUE
30,Megan Bennett,NA,5110,Wilderness Vows at Twilight,Song,Indie Pop,1991,NA,TRUE
30,Megan Bennett,NA,9239,Horizon's Aftermath,Song,Alternative Rock,2030,NA,TRUE
30,Megan Bennett,NA,10090,Candlelight Confessions,Song,Southern Gothic Rock,1998,NA,TRUE
30,Megan Bennett,NA,10475,Blooming Duality,Song,Speed Metal,2020,NA,TRUE
30,Megan Bennett,NA,11236,Unbroken Promise,Song,Alternative Rock,2028,NA,TRUE
30,Megan Bennett,NA,11572,Fever Pitch Madness,Song,Speed Metal,1995,1995,TRUE
30,Megan Bennett,NA,12979,Forgiveness Falls,Album,Southern Gothic Rock,1996,NA,TRUE
30,Megan Bennett,NA,13545,Gleaming Hope's Horizon,Song,Speed Metal,1997,NA,TRUE
30,Megan Bennett,NA,15047,The Last Frame of Pola,Song,Southern Gothic Rock,1986,NA,TRUE
30,Megan Bennett,NA,15702,Mirrors of Deception,Song,Speed Metal,1985,NA,TRUE
30,Megan Bennett,NA,16421,Unraveled (A Cassidy Story),Song,Speed Metal,2010,2010,TRUE
37,Hansh Ramanathan,NA,35,Sober Streets,Album,Blues Rock,2007,NA,TRUE
40,Na Dong,NA,39,Healthier Than Yesterday,Song,Indie Folk,2010,NA,TRUE
40,Na Dong,NA,5519,Garden's Symphony,Song,Indie Folk,2013,2013,TRUE
43,James Taylor,NA,42,Midnight Clarity,Song,Synthwave,2020,NA,TRUE
43,James Taylor,NA,16171,Silver in Her Palm,Song,Dream Pop,2029,NA,TRUE
44,Jennifer Smith,NA,16171,Silver in Her Palm,Song,Dream Pop,2029,NA,TRUE
45,Kyle Anderson,NA,16171,Silver in Her Palm,Song,Dream Pop,2029,NA,TRUE
50,Tao Zeng,NA,48,Arcane Whispers,Song,Indie Folk,2017,NA,TRUE
51,Guiying Qin,NA,48,Arcane Whispers,Song,Indie Folk,2017,NA,TRUE
52,Na Guo,NA,48,Arcane Whispers,Song,Indie Folk,2017,NA,TRUE
52,Na Guo,NA,13611,Trust No One,Song,Doom Metal,2018,NA,TRUE
52,Na Guo,NA,15662,Whispers of a Heartache,Song,Dream Pop,2026,NA,TRUE
55,Miki Hasegawa,NA,54,Starlight's Sorcerer,Song,Alternative Rock,2003,NA,TRUE
55,Miki Hasegawa,NA,7713,Whiskey's Silent Witness,Song,Alternative Rock,1996,NA,TRUE
56,Asuka Takahashi,NA,54,Starlight's Sorcerer,Song,Alternative Rock,2003,NA,TRUE
56,Asuka Takahashi,NA,7713,Whiskey's Silent Witness,Song,Alternative Rock,1996,NA,TRUE
56,Asuka Takahashi,NA,14344,Captured Silence,Song,Alternative Rock,2013,NA,TRUE
57,Miki Miura,NA,7713,Whiskey's Silent Witness,Song,Alternative Rock,1996,NA,TRUE
63,Min Qiao,NA,60,Runes and Riddles,Song,Americana,2023,NA,TRUE
64,April Morris,NA,60,Runes and Riddles,Song,Americana,2023,NA,TRUE
65,Sara Parker,NA,60,Runes and Riddles,Song,Americana,2023,NA,TRUE
65,Sara Parker,NA,5079,The Pool of Self-Obsession,Song,Indie Folk,2020,2020,TRUE
65,Sara Parker,NA,16429,Cavalry of Color,Album,Indie Folk,2023,NA,TRUE
66,Gang Su,NA,60,Runes and Riddles,Song,Americana,2023,NA,TRUE
67,Guiying Pan,NA,60,Runes and Riddles,Song,Americana,2023,NA,TRUE
67,Guiying Pan,NA,766,Daughters of the Scorched Earth,Song,Psychedelic Rock,2017,NA,TRUE
67,Guiying Pan,NA,13603,Beyond the Broken,Song,Psychedelic Rock,2013,NA,TRUE
67,Guiying Pan,NA,16512,The Day That Changes Everything,Song,Americana,2013,NA,TRUE
72,Amy Mejia,NA,71,Forgotten Incantation,Album,Indie Folk,2017,NA,TRUE
73,Yang Pan,NA,71,Forgotten Incantation,Album,Indie Folk,2017,NA,TRUE
74,Min Hu,NA,71,Forgotten Incantation,Album,Indie Folk,2017,NA,TRUE
